user_id,age,income_bracket,device_type,user_type,region,tech_savviness,filed_2023,time_to_complete_2023,sessions_2023,support_tickets_2023,early_login_2024,used_smart_assistant,filed_2024,time_to_complete_2024,sessions_2024,support_tickets_2024,satisfaction_2024,time_improvement,session_improvement
user_000000,41,50k-75k,tablet,returning,Midwest,41,True,83,2,0,True,True,True,40,1,0,7.940143815046259,43,1
user_000001,37,<30k,desktop,returning,Midwest,43,True,112,1,0,False,False,True,96,1,0,7.240809715473777,16,0
user_000002,19,30k-50k,mobile,new,East,61,True,122,1,0,False,True,True,29,1,0,8.454383537545061,93,0
user_000003,66,75k-100k,mobile,new,East,31,True,125,5,0,False,False,True,121,3,0,6.208181794504734,4,2
user_000004,27,30k-50k,desktop,returning,West,85,True,56,4,1,False,True,True,36,3,0,8.153965746850586,20,1
user_000005,35,<30k,desktop,returning,South,30,True,133,2,0,True,True,True,81,1,0,8.299457827517692,52,1
user_000006,57,75k-100k,mobile,new,East,16,True,206,4,0,False,True,True,200,5,0,8.031864024559363,6,-1
user_000007,56,30k-50k,desktop,returning,West,47,True,67,1,0,True,False,True,72,1,0,7.549876412018367,-5,0
user_000008,22,<30k,mobile,new,East,49,True,113,4,0,False,True,True,92,1,1,9.745587774595066,21,3
user_000009,49,100k-150k,mobile,new,East,59,True,90,6,0,False,True,True,82,5,0,5.660753893613093,8,1
user_000010,60,<30k,tablet,returning,West,48,False,0,0,0,True,False,False,0,0,0,,0,0
user_000011,49,75k-100k,mobile,returning,West,74,True,73,2,0,True,True,True,55,1,0,7.896393975638586,18,1
user_000012,57,30k-50k,mobile,new,East,55,False,0,0,0,False,True,True,94,1,0,8.497789378443048,-94,-1
user_000013,50,100k-150k,desktop,new,Midwest,83,True,146,5,0,True,True,True,107,1,1,8.079375328208949,39,4
user_000014,46,75k-100k,desktop,returning,East,45,True,140,1,2,False,True,True,71,2,0,7.898961700510644,69,-1
user_000015,67,30k-50k,desktop,returning,West,37,True,86,2,0,True,False,True,87,1,0,8.987763157885624,-1,1
user_000016,58,30k-50k,mobile,new,West,49,True,158,3,0,False,False,True,162,1,0,9.121557998133104,-4,2
user_000017,34,100k-150k,mobile,returning,East,80,True,86,3,1,True,True,True,88,1,0,8.43717079435691,-2,2
user_000018,45,30k-50k,mobile,returning,South,41,True,57,4,0,True,True,True,20,3,0,10.0,37,1
user_000019,42,50k-75k,mobile,new,East,56,False,0,0,0,False,False,True,106,1,0,7.698660889769077,-106,-1
user_000020,18,50k-75k,desktop,returning,South,64,True,85,1,0,True,True,True,67,1,0,6.278398907328336,18,0
user_000021,42,30k-50k,mobile,returning,East,54,True,77,7,0,False,True,True,122,4,0,9.632139080216376,-45,3
user_000022,62,<30k,desktop,returning,West,46,True,107,5,1,False,False,False,0,0,0,,107,5
user_000023,53,30k-50k,desktop,returning,Midwest,77,True,67,3,0,True,True,True,37,2,0,9.461391228830246,30,1
user_000024,46,<30k,desktop,new,West,42,False,0,0,0,False,True,False,0,0,0,,0,0
user_000025,29,75k-100k,mobile,returning,West,87,True,32,1,0,False,False,True,22,1,0,6.748450293374858,10,0
user_000026,33,75k-100k,mobile,returning,West,75,True,32,3,0,True,True,True,30,3,0,9.063161300854086,2,0
user_000027,48,100k-150k,desktop,new,Midwest,79,True,118,1,0,True,True,True,65,1,0,6.955943093036154,53,0
user_000028,48,50k-75k,mobile,new,South,56,False,0,0,0,False,True,True,113,1,0,9.113894829613189,-113,-1
user_000029,48,30k-50k,mobile,returning,South,50,True,70,6,0,False,False,True,59,11,0,8.790331308524445,11,-5
user_000030,49,75k-100k,mobile,new,South,34,True,159,4,0,True,True,True,100,2,0,8.43737567341579,59,2
user_000031,27,<30k,mobile,returning,Midwest,64,True,77,6,0,False,True,True,87,5,1,5.670495378601664,-10,1
user_000032,59,75k-100k,mobile,new,Midwest,36,False,0,0,0,False,False,True,139,1,1,5.519915132180389,-139,-1
user_000033,31,75k-100k,desktop,new,East,57,True,140,3,0,True,True,True,85,3,0,8.94441988356907,55,0
user_000034,45,>150k,mobile,returning,Midwest,81,True,59,1,1,True,True,True,70,1,0,8.03775798136305,-11,0
user_000035,28,50k-75k,desktop,new,Midwest,72,False,0,0,0,False,True,True,106,1,0,7.8293821265629,-106,-1
user_000036,52,100k-150k,tablet,returning,East,63,True,103,3,1,True,True,True,78,3,0,9.54330665415142,25,0
user_000037,38,>150k,desktop,new,East,77,True,120,1,1,True,True,True,100,1,0,5.13549478927785,20,0
user_000038,31,30k-50k,desktop,returning,Midwest,67,True,30,1,0,False,True,True,60,1,0,9.464965823044643,-30,0
user_000039,50,75k-100k,tablet,new,East,58,True,156,3,0,False,True,True,113,1,0,5.114540568979533,43,2
user_000040,52,75k-100k,desktop,returning,East,57,True,114,5,0,False,False,True,81,4,0,7.266315115054821,33,1
user_000041,53,100k-150k,desktop,returning,East,82,True,124,2,1,True,True,True,91,2,0,9.273364120141617,33,0
user_000042,33,75k-100k,desktop,returning,East,66,True,101,3,0,True,True,True,82,5,0,7.685883730469237,19,-2
user_000043,55,50k-75k,mobile,returning,East,25,True,162,7,0,True,True,True,175,7,0,6.5185856018931245,-13,0
user_000044,45,<30k,mobile,returning,East,23,False,0,0,0,False,False,False,0,0,0,,0,0
user_000045,45,75k-100k,mobile,returning,West,50,True,119,5,0,False,False,True,133,2,0,10.0,-14,3
user_000046,18,50k-75k,desktop,returning,South,67,True,88,3,1,True,True,True,78,4,0,5.769275002028007,10,-1
user_000047,52,75k-100k,mobile,returning,West,72,True,83,4,0,False,True,True,75,2,0,9.297965070741894,8,2
user_000048,71,50k-75k,mobile,new,East,41,True,86,5,1,True,False,True,88,4,0,4.3172039730357294,-2,1
user_000049,76,75k-100k,mobile,returning,Midwest,45,True,59,1,0,True,True,True,50,2,0,8.27205402360868,9,-1
user_000050,51,50k-75k,mobile,returning,South,56,True,44,2,0,True,True,True,48,4,0,6.133551519390509,-4,-2
user_000051,41,50k-75k,mobile,returning,East,31,True,123,2,0,False,False,True,124,1,0,5.916894607493905,-1,1
user_000052,66,50k-75k,desktop,returning,West,23,True,163,3,0,True,False,True,182,2,0,9.989607967023382,-19,1
user_000053,47,50k-75k,desktop,returning,West,50,True,133,1,0,True,True,True,63,1,0,7.153071820285562,70,0
user_000054,68,<30k,desktop,returning,Midwest,1,False,0,0,0,True,False,True,117,1,0,6.784896805143395,-117,-1
user_000055,49,50k-75k,desktop,returning,East,40,True,116,2,0,True,False,True,132,1,0,6.479386778177804,-16,1
user_000056,36,<30k,mobile,returning,West,62,True,121,3,0,True,True,True,105,5,0,9.728895339230297,16,-2
user_000057,57,<30k,desktop,returning,South,29,True,127,3,0,True,False,True,117,1,0,10.0,10,2
user_000058,44,30k-50k,mobile,returning,South,46,False,0,0,0,True,True,True,65,1,0,5.721772363922514,-65,-1
user_000059,41,50k-75k,desktop,new,South,61,True,125,3,0,False,True,True,87,2,0,7.175459545713521,38,1
user_000060,64,75k-100k,desktop,new,South,30,False,0,0,0,True,False,True,131,3,0,8.00024681409095,-131,-3
user_000061,49,30k-50k,desktop,returning,West,58,True,83,4,0,True,False,True,83,5,0,8.919103341870356,0,-1
user_000062,29,>150k,desktop,returning,East,66,True,98,3,0,False,False,True,89,4,0,8.769626865738974,9,-1
user_000063,44,75k-100k,desktop,returning,South,31,True,89,3,0,True,True,True,67,3,0,9.18793884796225,22,0
user_000064,32,<30k,desktop,returning,South,50,True,84,1,0,False,True,True,43,1,0,8.01096881098716,41,0
user_000065,48,<30k,desktop,returning,West,42,True,114,1,1,True,True,True,112,1,0,8.668346699313416,2,0
