user_id,age,income_bracket,device_type,user_type,region,tech_savviness,filed_2023,time_to_complete_2023,sessions_2023,support_tickets_2023,early_login_2024,used_smart_assistant,filed_2024,time_to_complete_2024,sessions_2024,support_tickets_2024,satisfaction_2024,time_improvement,session_improvement
user_000000,41,50k-75k,tablet,returning,Midwest,41,False,0,0,0,False,True,True,90,1,0,7.763752705804335,-90,-1
user_000001,37,<30k,desktop,returning,Midwest,43,False,0,0,0,False,True,True,81,1,0,6.193148405144831,-81,-1
user_000002,19,30k-50k,mobile,new,East,61,False,0,0,0,False,True,True,93,1,0,9.58725048892093,-93,-1
user_000003,66,75k-100k,mobile,new,East,31,True,118,2,0,False,True,True,102,1,0,8.104231730976334,16,1
user_000004,27,30k-50k,desktop,returning,West,85,True,31,1,0,True,True,True,28,2,0,7.26866513739757,3,-1
user_000005,35,<30k,desktop,returning,South,30,True,76,2,0,False,False,False,0,0,0,,76,2
user_000006,57,75k-100k,mobile,new,East,16,True,99,4,0,True,False,True,75,2,0,7.748468876048577,24,2
user_000007,56,30k-50k,desktop,returning,West,47,True,110,3,0,True,False,True,102,2,0,5.593440946104666,8,1
user_000008,22,<30k,mobile,new,East,49,True,197,2,0,False,True,False,0,0,0,,197,2
user_000009,49,100k-150k,mobile,new,East,59,True,138,2,0,False,True,True,100,1,0,5.864212189611879,38,1
user_000010,60,<30k,tablet,returning,West,48,False,0,0,0,True,True,True,101,1,0,6.358553867665483,-101,-1
user_000011,49,75k-100k,mobile,returning,West,74,True,37,2,0,True,True,True,20,3,0,8.03770375509449,17,-1
user_000012,57,30k-50k,mobile,new,East,55,True,122,4,0,False,False,True,110,1,0,5.641536438012751,12,3
user_000013,50,100k-150k,desktop,new,Midwest,83,True,101,1,0,True,True,True,51,1,0,8.539627890384144,50,0
user_000014,46,75k-100k,desktop,returning,East,45,True,93,2,0,True,True,True,67,1,1,8.029569879965536,26,1
user_000015,67,30k-50k,desktop,returning,West,37,True,56,4,0,False,False,True,53,2,0,8.223681440519174,3,2
user_000016,58,30k-50k,mobile,new,West,49,True,146,3,0,True,False,False,0,0,0,,146,3
user_000017,34,100k-150k,mobile,returning,East,80,True,94,7,0,True,True,True,114,3,1,7.2670493554975675,-20,4
user_000018,45,30k-50k,mobile,returning,South,41,True,30,1,0,False,False,True,20,1,1,8.963572663990108,10,0
user_000019,42,50k-75k,mobile,new,East,56,False,0,0,0,False,False,True,116,1,0,8.211780447115789,-116,-1
user_000020,18,50k-75k,desktop,returning,South,64,False,0,0,0,True,True,True,98,1,0,6.825153557669642,-98,-1
user_000021,42,30k-50k,mobile,returning,East,54,True,93,3,0,False,True,True,70,1,0,10.0,23,2
user_000022,62,<30k,desktop,returning,West,46,True,32,5,1,True,False,True,51,5,0,7.063413807120677,-19,0
user_000023,53,30k-50k,desktop,returning,Midwest,77,True,58,1,0,True,True,True,57,1,1,9.252909846999751,1,0
user_000024,46,<30k,desktop,new,West,42,True,134,4,0,True,False,False,0,0,0,,134,4
user_000025,29,75k-100k,mobile,returning,West,87,True,75,3,0,True,True,True,56,4,0,7.4160668797909794,19,-1
user_000026,33,75k-100k,mobile,returning,West,75,True,30,2,0,True,True,True,23,2,0,8.980180318474474,7,0
user_000027,48,100k-150k,desktop,new,Midwest,79,True,78,2,0,False,True,True,40,2,0,7.848330794274199,38,0
user_000028,48,50k-75k,mobile,new,South,56,True,114,2,0,False,False,True,85,2,0,7.635275479879164,29,0
user_000029,48,30k-50k,mobile,returning,South,50,True,95,4,0,True,False,True,79,5,0,6.3050835070672,16,-1
user_000030,49,75k-100k,mobile,new,South,34,True,71,2,0,True,False,True,75,1,0,5.413746433161658,-4,1
user_000031,27,<30k,mobile,returning,Midwest,64,True,67,4,0,True,True,True,41,4,0,7.598028676450177,26,0
user_000032,59,75k-100k,mobile,new,Midwest,36,True,131,7,0,False,False,True,95,5,0,7.359709632905991,36,2
user_000033,31,75k-100k,desktop,new,East,57,True,153,3,0,False,False,True,151,4,0,6.053978755752626,2,-1
user_000034,45,>150k,mobile,returning,Midwest,81,True,129,1,0,True,True,True,97,2,1,7.2910246381282615,32,-1
user_000035,28,50k-75k,desktop,new,Midwest,72,False,0,0,0,True,True,True,96,1,0,9.263001384432044,-96,-1
user_000036,52,100k-150k,tablet,returning,East,63,True,70,5,0,True,True,True,55,2,0,8.430127987672968,15,3
user_000037,38,>150k,desktop,new,East,77,True,97,4,0,False,True,True,64,3,0,9.285680363427332,33,1
user_000038,31,30k-50k,desktop,returning,Midwest,67,False,0,0,0,True,True,False,0,0,0,,0,0
user_000039,50,75k-100k,tablet,new,East,58,True,114,1,0,True,True,True,67,1,0,6.048283089300107,47,0
user_000040,52,75k-100k,desktop,returning,East,57,False,0,0,0,False,True,True,106,2,0,8.433352923967377,-106,-2
user_000041,53,100k-150k,desktop,returning,East,82,True,49,2,0,True,True,True,26,2,0,8.731630525180456,23,0
user_000042,33,75k-100k,desktop,returning,East,66,True,47,3,0,True,True,True,56,1,0,7.798261190480575,-9,2
user_000043,55,50k-75k,mobile,returning,East,25,True,157,4,0,True,True,True,83,2,0,7.473259075401415,74,2
user_000044,45,<30k,mobile,returning,East,23,True,134,4,0,True,False,True,109,3,0,7.5237883588526175,25,1
user_000045,45,75k-100k,mobile,returning,West,50,True,95,1,0,False,False,True,101,1,0,6.961512533477051,-6,0
